Wavenumbercm-1,02:37:17
4000,0.000145772130249581
3998,0.000145772130249581
3996,0.000145772130249581
3994,0.000106732274570456
3992,4.65325977072885E-05
3990,7.68813771965389E-06
3988,8.42449574036632E-06
3986,3.87618901079843E-05
3984,4.33466537996407E-05
3982,-9.51715863946795E-06
3980,-8.97253532363134E-05
3978,-0.000134931889184547
3976,-0.000113561571257872
3974,-5.29856856246294E-05
3972,-5.78870640327966E-06
3970,6.4147496182432E-06
3968,9.62170591788432E-06
3966,3.85828120975946E-05
3964,9.08742963204365E-05
3962,0.000128577790449642
3960,0.000121552678842643
3958,7.68320609813036E-05
3956,2.73264090516228E-05
3954,5.12783978674849E-06
3952,2.02916319673271E-05
3950,4.88151793550487E-05
3948,4.45510687471603E-05
3946,-1.52948826701093E-05
3944,-8.28672107162221E-05
3942,-6.66194620171912E-05
3940,5.99148740514505E-05
3938,0.000194371702164605
3936,0.000189938402524949
3934,1.07623554749475E-05
3932,-0.000212755176024485
3930,-0.000303528604196326
3928,-0.000206503404885308
3926,-2.38291420558389E-05
3924,9.75852999350775E-05
3922,8.9155825734261E-05
3920,-1.03158063466149E-05
3918,-0.000110315294896848
3916,-0.000134920948015378
3914,-5.21511395411381E-05
3912,0.000106570800996675
3910,0.000235007770305701
3908,0.000215033631494428
3906,2.23033369224361E-05
3904,-0.000227404937051162
3902,-0.000344130391178554
3900,-0.000225565461583128
3898,3.64096034640557E-05
3896,0.000247312975544711
3894,0.000276675250504226
3892,0.000138804536669613
3890,-4.46247396184502E-05
3888,-0.000158898934996778
3886,-0.000172796311631474
3884,-0.000115415959750144
3882,-2.37332098756207E-05
3880,7.82939711722617E-05
3878,0.00016765386071197
3876,0.000211333550118292
3874,0.000181419645837563
3872,7.77715069676309E-05
3870,-6.16184224218745E-05
3868,-0.000178177048280924
3866,-0.000220405293846148
3864,-0.000146775341567712
3862,2.54204691524574E-05
3860,0.000178756216902812
3858,0.000183398169140677
3856,1.09393705240552E-05
3854,-0.000217251263194414
3852,-0.00029298638560949
3850,-0.00012777323226981
3848,0.000149678938020395
3846,0.000337224374414871
3844,0.000304929989290443
3842,7.22322205800627E-05
3840,-0.00021202147121755
3838,-0.000387268709605937
3836,-0.000372524810984063
3834,-0.000186361193295557
3832,6.6988172831179E-05
3830,0.000269377103334983
3828,0.000348881664343041
3826,0.00028873895992978
3824,0.000111664033116918
3822,-0.000126443692882241
3820,-0.000328130799139831
3818,-0.000378223795357655
3816,-0.000224949619460337
3814,6.14034390164912E-05
3812,0.000328119599363784
3810,0.000440061002968203
3808,0.000352939090582353
3806,0.000118148592835992
3804,-0.000160991825416347
3802,-0.000375251664971172
3800,-0.00044028423273457
3798,-0.000331341724741288
3796,-0.000110149993499373
3794,0.000105525057938027
3792,0.000220805013773782
3790,0.000218061147187911
3788,0.000143055086356704
3786,4.83622660299361E-05
3784,-4.23309725818001E-05
3782,-0.000116102603268997
3780,-0.000138135391138361
3778,-6.54369823037414E-05
3776,9.0191606355368E-05
3774,0.000235585910893407
3772,0.000261287809556364
3770,0.000141560981990489
3768,-2.91485762247927E-05
3766,-0.000115768779147844
3764,-7.41456341516331E-05
3762,1.42043146498999E-05
3760,4.04598875600484E-05
3758,-7.04588414269203E-06
3756,-2.23995553228502E-05
3754,8.68038215448107E-05
3752,0.000251849976758605
3750,0.000275716697386125
3748,3.43964906909929E-05
3746,-0.000344694656348781
3744,-0.000538647302725017
3742,-0.000351935739981167
3740,5.75915507733817E-05
3738,0.000330537370614035
3736,0.000244829449024874
3734,-8.68901407267582E-05
3732,-0.000345052190391082
3730,-0.000341397464716967
3728,-0.000148003513627109
3726,5.7504659178839E-05
3724,0.000165708056604688
3722,0.000184422398664247
3720,0.000169207021109693
3718,0.000138492687374832
3716,8.66898989856676E-05
3714,2.61574649769942E-05
3712,-2.07791030776558E-05
3710,-4.8933279137652E-05
3708,-7.24661964006852E-05
3706,-9.6202811349623E-05
3704,-8.88451093790587E-05
3702,-3.13586579755426E-06
3700,0.000162516306196209
3698,0.000319976498398034
3696,0.000329785451506948
3694,0.000120076964409898
3692,-0.00021959184285859
3690,-0.000470105027211149
3688,-0.000435579153144466
3686,-0.000119076576648655
3684,0.00025350534192502
3682,0.000435314106605393
3680,0.000353612487379401
3678,0.000114672117435353
3676,-0.000122672518000091
3674,-0.000283418427798132
3672,-0.000390286241531642
3670,-0.000447374745800622
3668,-0.000406329631784562
3666,-0.000237873304947295
3664,3.0101177959935E-05
3662,0.000320579060497771
3660,0.000536009967004882
3658,0.000596721924658585
3656,0.000458412427467043
3654,0.000146618735002012
3652,-0.000221317633446822
3650,-0.000487180804481678
3648,-0.000542192297513748
3646,-0.000392459122992416
3644,-0.000149630256113091
3642,6.85629513917485E-05
3640,0.000211971858122379
3638,0.00027133542958533
3636,0.000234239253513121
3634,0.000100879989816575
3632,-7.82196958735186E-05
3630,-0.000188724114240966
3628,-0.000125492069839371
3626,7.68516193278283E-05
3624,0.000243903775783172
3622,0.000228855434350533
3620,3.74614302476963E-05
3618,-0.000186948253018869
3616,-0.000299712200684165
3614,-0.00028541582903195
3612,-0.000224029314637679
3610,-0.000154344405274218
3608,-3.53815141146556E-05
3606,0.000161363745863476
3604,0.000351848569519712
3602,0.00038712068990948
3600,0.000223579150262057
3598,1.67257400552519E-06
3596,-0.000101179490904717
3594,-7.28734879875745E-05
3592,-6.51837910447011E-05
3590,-0.000187118565431535
3588,-0.000345121502308635
3586,-0.000334371433762623
3584,-9.19592435772049E-05
3582,0.000213886541495973
3580,0.000365801282519646
3578,0.000312778041882486
3576,0.000186153499981041
3574,0.000116114326055758
3572,7.71603702029133E-05
3570,-4.70255907968409E-05
3568,-0.000280126185490935
3566,-0.000485063950634264
3564,-0.000488654834723405
3562,-0.000262671167973566
3560,4.6357343399895E-05
3558,0.000260298978267128
3556,0.000313043246887031
3554,0.00025850127754797
3552,0.00016935171222618
3550,6.28456778202456E-05
3548,-6.9655982860167E-05
3546,-0.000200080076225698
3544,-0.000269374078165621
3542,-0.000246548217491211
3540,-0.000151020412014013
3538,-9.94802197157962E-06
3536,0.000169528319115098
3534,0.000351515644901282
3532,0.00042702161853096
3530,0.000286164310306611
3528,-4.13677936198513E-05
3526,-0.000349629081479117
3524,-0.000417882966448547
3522,-0.000231392031876086
3520,5.99029708378485E-06
3518,9.93498343895361E-05
3516,6.33673780574283E-05
3514,7.88630029215653E-05
3512,0.0002583930043098
3510,0.000484412799029168
3508,0.000514275256345046
3506,0.000231284976217856
3504,-0.000229427462907876
3502,-0.000587971186648428
3500,-0.000642874697129606
3498,-0.000405578938196091
3496,-5.2385975142919E-05
3494,0.000225294042989662
3492,0.00033828642314696
3490,0.000311719405720615
3488,0.000216857595107211
3486,0.000104353779108352
3484,-8.73964876705998E-07
3482,-6.23095142655428E-05
3480,-3.07170989989984E-05
3478,8.66502181214845E-05
3476,0.000181760463968341
3474,0.000123331986419065
3472,-0.00010285637968632
3470,-0.000356683367093512
3468,-0.000476610017177248
3466,-0.000437425445939137
3464,-0.00033670629184287
3462,-0.00024268134501807
3460,-0.000116848191829993
3458,9.24588734051835E-05
3456,0.00031876470983597
3454,0.000402210334638259
3452,0.000273250173379416
3450,7.8865296913534E-05
3448,7.79517718047277E-05
3446,0.000373758341660287
3444,0.000747170783325131
3442,0.000807819329349161
3440,0.000358032259516702
3438,-0.000395820116246358
3436,-0.00100660583417587
3434,-0.00116235791164407
3432,-0.000894008350169148
3430,-0.00043379313381419
3428,4.37993359990087E-05
3426,0.000489823645064399
3424,0.000862037835189904
3422,0.0010391174080759
3420,0.000889199788645255
3418,0.000415176075308723
3416,-0.000180301143987318
3414,-0.000576107849239603
3412,-0.000524946599384079
3410,-5.72777463869072E-05
3408,0.000477652426051353
3406,0.000651393270531335
3404,0.000323804121232265
3402,-0.000219247663176753
3400,-0.000540067814601045
3398,-0.000467121042482493
3396,-0.000206507405663799
3394,-5.54401688257828E-05
3392,-7.61014533104603E-05
3390,-9.59828734667061E-05
3388,1.80461830351459E-05
3386,0.000182357596267132
3384,0.000220605582186648
3382,0.000101295835448408
3380,-1.80514238353843E-05
3378,8.69031173831429E-06
3376,0.000125951398661278
3374,0.000131770865078054
3372,-8.72991934298581E-05
3370,-0.000415900564080787
3368,-0.000615813280426508
3366,-0.000546220832759654
3364,-0.000260379062690614
3362,8.18975624546163E-05
3360,0.000345430540375572
3358,0.000460403556152359
3356,0.000400646422955006
3354,0.000193707427056
3352,-4.74863140215558E-05
3350,-0.000169225216053017
3348,-0.000105675866930224
3346,4.38358144483954E-05
3344,0.000103557442265441
3342,3.331496350288E-06
